Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
17.12.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.12.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.01.23
17.12.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.12.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.12.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.01.23
17.12.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.01.23
17.11.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.12.22
17.11.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.12.22
17.11.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.11.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.11.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.12.22
17.11.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.10.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.10.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.10.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.11.22
17.10.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.11.22
17.10.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.11.22
17.10.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.09.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.10.22
17.09.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.09.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.09.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.10.22
17.09.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.10.22
17.09.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.08.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.08.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.09.22
17.08.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.08.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.09.22
17.08.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.09.22
17.08.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.07.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.08.22
17.07.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.08.22
17.07.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.07.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.08.22
17.07.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.07.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.06.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.06.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.07.22
17.06.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.07.22
17.06.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.06.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.07.22
17.06.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.05.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.06.22
17.05.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.06.22
17.05.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.05.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.05.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.06.22
17.05.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.04.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.05.22
17.04.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.04.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.04.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.05.22
17.03.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.03.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.04.22
17.03.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.04.22
17.03.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.02.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.03.22
17.02.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.03.22
17.02.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.02.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.02.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.03.22
17.02.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.01.22,,,,,,,,18.9,CHF,1.35,18.9,,NEW,SETTLED,,17.02.22
17.01.22,,,,,,,,,CHF,,18.9,,PENDING,,,
17.01.22,,,,,,,,,CHF,,18.9,,APPROVED,,,
17.01.22,,,,,,,,18.9,CHF,1.35,18.9,,PENDING,SETTLED,,17.02.22
17.01.22,,,,,,,,18.9,CHF,1.35,18.9,,APPROVED,SETTLED,,17.02.22
17.01.22,,,,,,,,,CHF,,18.9,,NEW,,,
17.12.21,,,,,,,,16.9,CHF,1.21,16.9,,APPROVED,SETTLED,,17.01.22
17.12.21,,,,,,,,,CHF,,16.9,,PENDING,,,
17.12.21,,,,,,,,16.9,CHF,1.21,16.9,,NEW,SETTLED,,17.01.22
17.12.21,,,,,,,,,CHF,,16.9,,APPROVED,,,
17.12.21,,,,,,,,16.9,CHF,1.21,16.9,,PENDING,SETTLED,,17.01.22
17.12.21,,,,,,,,,CHF,,16.9,,NEW,,,
17.11.21,,,,,,,,,CHF,,16.9,,APPROVED,,,
17.11.21,,,,,,,,,CHF,,16.9,,PENDING,,,
17.11.21,,,,,,,,16.9,CHF,1.21,16.9,,PENDING,SETTLED,,17.12.21
17.11.21,,,,,,,,,CHF,,16.9,,NEW,,,
17.11.21,,,,,,,,16.9,CHF,1.21,16.9,,NEW,SETTLED,,17.12.21
17.11.21,,,,,,,,16.9,CHF,1.21,16.9,,APPROVED,SETTLED,,17.12.21
17.10.21,,,,,,,,16.9,CHF,1.21,16.9,,NEW,SETTLED,,17.11.21
17.10.21,,,,,,,,,CHF,,16.9,,NEW,,,
17.10.21,,,,,,,,16.9,CHF,1.21,16.9,,APPROVED,SETTLED,,17.11.21
17.10.21,,,,,,,,16.9,CHF,1.21,16.9,,PENDING,SETTLED,,17.11.21
17.10.21,,,,,,,,,CHF,,16.9,,APPROVED,,,
17.10.21,,,,,,,,,CHF,,16.9,,PENDING,,,
17.09.21,,,,,,,,16.9,CHF,1.21,16.9,,NEW,SETTLED,,17.10.21
17.09.21,,,,,,,,16.9,CHF,1.21,16.9,,APPROVED,SETTLED,,17.10.21
17.09.21,,,,,,,,,CHF,,16.9,,PENDING,,,
17.09.21,,,,,,,,16.9,CHF,1.21,16.9,,PENDING,SETTLED,,17.10.21
17.09.21,,,,,,,,,CHF,,16.9,,NEW,,,
17.09.21,,,,,,,,,CHF,,16.9,,APPROVED,,,
17.08.21,,,,,,,,,CHF,,16.9,,APPROVED,,,
17.08.21,,,,,,,,,CHF,,16.9,,NEW,,,
